§Õ≈—¡πÏ1,st,§Õ≈—¡πÏ3,§Õ≈—¡πÏ4,§Õ≈—¡πÏ5,§Õ≈—¡πÏ6,§Õ≈—¡πÏ7
15,livelock,1119804106,0.4998684,53324005,0.023803256,952
15,livelock,5353644336,55.146976,127467722,1.3130232,37248
15,livelock,5115630166,49.655746,150459711,1.4604632,25706
15,livelock,1731054024,1.4881182,69242161,0.059524726,3135
15,livelock,10073563928,66.99541,228944635,1.522623,43308
15,livelock,582227022,2.1762943,116445404,0.43525887,12564
15,livelock,47790070,0.0130422,47790070,0.0130422,211
15,livelock,9591362960,41.98714,266426749,1.1663095,40816
15,normal,1292019872,0.1739714,46143567,0.006213264,4
15,livelock,971422350,0.8716711,69387311,0.06226222,1994
15,livelock,8197603900,62.16281,190641951,1.4456468,40369
15,livelock,2316469630,1.793931,64346379,0.049831416,1245
15,livelock,1389882020,0.6422522,53457001,0.024702009,958
15,livelock,9765472180,151.32791,250396723,3.8802028,103516
15,livelock,3813148606,5.2549586,105920795,0.14597107,5378
15,livelock,2122422002,8.743406,62424177,0.257159,8994
15,deadloop,37962510,0.0069444,37962510,0.0069444,56
15,livelock,398359040,0.425606,79671808,0.0851212,3148
15,deadloop,574943814,0.11510981,38329588,0.007673987,65
15,livelock,1705588766,12.91877,189509863,1.4354188,50908
15,deadloop,38871824,0.0088427,38871824,0.0088427,70
15,livelock,2339993540,2.0426817,68823339,0.060078874,2030
15,livelock,1309243282,0.6503124,54551803,0.027096352,1098
15,deadloop,38830864,0.0082428,38830864,0.0082428,67
15,livelock,2663113870,1.9571329,63407473,0.046598405,1239
15,normal,601152648,0.0835091,46242511,0.006423777,21
15,normal,1213863318,0.1956273,46687051,0.007524127,60
15,normal,603708538,0.090718,46439118,0.006978308,69
15,livelock,1465600456,0.9213444,58624018,0.036853775,1714
15,deadloop,581546490,0.12881608,38769766,0.008587739,81
15,normal,2066239224,0.36066678,46959982,0.008196972,67
15,deadloop,575861248,0.1163642,38390750,0.007757613,54
15,livelock,7335520690,98.963394,431501217,5.8213763,158223
15,livelock,2060225412,0.75772256,51505635,0.018943064,379
15,livelock,701540980,0.6354554,70154098,0.06354554,1624
15,livelock,3371164092,6.2157173,96318974,0.17759192,6451
15,livelock,1179594924,0.5449789,53617951,0.024771769,991
15,deadloop,671854920,132.60457,335927460,66.302284,37716
15,deadloop,344307816,1.1960299,114769272,0.39867663,1263
15,livelock,106655920,0.049325302,53327960,0.024662651,974
15,livelock,8252585208,86.222786,187558755,1.9596088,53404
15,livelock,290999786,0.1814882,58199957,0.03629764,1601
15,livelock,14176908712,277.68622,322202471,6.3110504,163749
15,livelock,2817212516,2.528419,70430313,0.06321047,1742
15,livelock,1475360416,0.4147568,49178681,0.013825227,281
15,deadloop,63182616,0.0598775,63182616,0.0598775,769
15,normal,649770190,0.097496904,46412156,0.006964065,57
15,livelock,46454840,0.007044,46454840,0.007044,82
15,livelock,1622593668,1.254703,62407449,0.04825781,2154
,,,,,,
,,,overall,100980417,1.938211513,16706.22449
,,,livelock,115415335.3,0.82709342,22887.82353
,,,deadloop,82781627.78,7.423209708,4460.111111
